ds4: [t=+12338.9ms] coordinator connected; plan: 3337 experts for this worker (coordinator keeps 5562 hottest, SSD tail active on coordinator)
ds4: [t=+24959.0ms] plan installed: 3337/3337 experts wired (22.00 GiB); serving
ds4: [t=+46916.3ms] req seq=99 L36 k=1 ids=[3] w=[0.2116] compute=1.83 ms ok
ds4: [t=+46975.2ms] req seq=100 L0 k=1 ids=[33] w=[0.3940] compute=2.10 ms ok
ds4: [t=+46975.3ms] tok#4 done: 19 layer-reqs, 23 experts, compute 35.33 ms (1.86 ms/layer), wall 243.92 ms, errors=0, evict-hints=19 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=100 misses=0 swaps=99
ds4: [t=+46975.3ms] tok#4 experts: L3=[150] L5=[63] L7=[13] L10=[26] L13=[125] L15=[206,113,188] L16=[144] L19=[87] L20=[1] L21=[178,133] L23=[77] L24=[90,235] L25=[48] L27=[117] L29=[225] L30=[171] L32=[228] L34=[191] L36=[3]
ds4: [t=+47000.8ms] req seq=101 L5 k=1 ids=[34] w=[0.2175] compute=1.91 ms ok
ds4: [t=+47006.9ms] req seq=102 L6 k=1 ids=[3] w=[0.1551] compute=1.80 ms ok
ds4: [t=+47013.0ms] req seq=103 L7 k=1 ids=[151] w=[0.2976] compute=1.85 ms ok
ds4: [t=+47032.4ms] req seq=104 L12 k=2 ids=[18,174] w=[0.1471,0.1439] compute=1.84 ms ok
ds4: [t=+47043.8ms] req seq=105 L15 k=2 ids=[183,2] w=[0.2258,0.1789] compute=1.49 ms ok
ds4: [t=+47051.5ms] req seq=106 L17 k=2 ids=[91,142] w=[0.2882,0.2367] compute=1.54 ms ok
ds4: [t=+47059.5ms] req seq=107 L19 k=1 ids=[173] w=[0.1202] compute=1.44 ms ok
ds4: [t=+47077.0ms] req seq=108 L23 k=2 ids=[141,252] w=[0.1426,0.1280] compute=1.55 ms ok
ds4: [t=+47085.6ms] req seq=109 L25 k=1 ids=[86] w=[0.2006] compute=1.62 ms ok
ds4: [t=+47110.4ms] req seq=110 L29 k=1 ids=[129] w=[0.1894] compute=1.63 ms ok
ds4: [t=+47147.0ms] req seq=111 L33 k=1 ids=[60] w=[0.2468] compute=1.65 ms ok
ds4: [t=+47169.0ms] req seq=112 L37 k=1 ids=[29] w=[0.1973] compute=1.79 ms ok
ds4: [t=+47183.3ms] req seq=113 L39 k=1 ids=[110] w=[0.2437] compute=1.79 ms ok
